title,doi,authors,year,sources,query_groups,cluster_size,venue,primary_venue
AgentForge: Execution-Grounded Multi-Agent LLM Framework for Autonomous Software Engineering,,Rajesh Kumar; Waqar Ali; Junaid Ahmed; Najma Imtiaz Ali; Shaban Usman,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Agentic Agile-V: From Vibe Coding to Verified Engineering in Software and Hardware Development,,Christopher Koch,2026,arXiv,SE-G1 AND AI-G2,1,cs.SE,arXiv
Agentic AI for Software: thoughts from Software Engineering community,,Abhik Roychoudhury,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.SE,arXiv
"Agentic AI in the Software Development Lifecycle: Architecture, Empirical Evidence, and the Reshaping of Software Engineering",,Happy Bhati,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Agentic Bug Reproduction for Effective Automated Program Repair at Google,,Runxiang Cheng; Michele Tufano; Jürgen Cito; José Cambronero; Pat Rondon; Renyao Wei; Aaron Sun; Satish Chandra,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Agentic Harness Engineering: Observability-Driven Automatic Evolution of Coding-Agent Harnesses,,Jiahang Lin; Shichun Liu; Chengjun Pan; Lizhi Lin; Shihan Dou; Zhiheng Xi; Xuanjing Huang; Hang Yan; Zhenhua Han; Tao Gui; Yu-Gang Jiang,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.CL,arXiv
Agentic Program Repair from Test Failures at Scale: A Neuro-symbolic approach with static analysis and test execution feedback,10.1109/tse.2026.3696849,C. Maddila; A. Tait; C. Chang; D. Cheng; N. Ahmad; V. Murali; M. Roch; A. Avondet; A. Meltzer; V. Montalvao; M. Hopko; C. Waterson; P. Thakkar; R. Fernandez; K. Kristensen; S. Barzily; S. Chen; R. Abreu; N. Nagappan; P. Shodjai; K. Murphy; J. Everingham; A. Ramani; P. C. Rigby,2026,IEEE+arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,8,IEEE Transactions on Software Engineering; cs.SE,TSE
Agentic Rubrics as Contextual Verifiers for SWE Agents,,Mohit Raghavendra; Anisha Gunjal; Bing Liu; Yunzhong He,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.LG; ICLR 2026,ICLR
Agentic Software Issue Resolution with Large Language Models: A Survey,,Zhonghao Jiang; David Lo; Zhongxin Liu,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.SE,arXiv
Agentic Software: How AI Agents Are Restructuring the Software Paradigm,,Zhenfeng Cao,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Agentic Systems as Boosting Weak Reasoning Models,,Varun Sunkaraneni; Pierfrancesco Beneventano; Riccardo Neumarker; Tomaso Poggio; Tomer Galanti,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
AgenticSZZ: Temporal Knowledge Graph-Guided Agentic Bug-Inducing Commit Identification,,Yu Shi; Hao Li; Bram Adams; Ahmed E. Hassan,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.SE,arXiv
AgentLens: Revealing The Lucky Pass Problem in SWE-Agent Evaluation,,Priyam Sahoo; Gaurav Mittal; Xiaomin Li; Shengjie Ma; Benjamin Steenhoek; Pingping Lin; Yu Hu,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
Agentless: Demystifying LLM-based Software Engineering Agents,,Chunqiu Steven Xia; Yinlin Deng; Soren Dunn; Lingming Zhang,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; FSE 2025,FSE
AgentPulse: A Continuous Multi-Signal Framework for Evaluating AI Agents in Deployment,,Yuxuan Gao; Megan Wang; Yi Ling Yu,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI,arXiv
