title,doi,authors,year,sources,query_groups,cluster_size,venue,primary_venue
SoVAR: Build Generalizable Scenarios from Accident Reports for Autonomous Driving Testing,10.1145/3691620.3695037,"Guo, An and Zhou, Yuan and Tian, Haoxiang and Fang, Chunrong and Sun, Yunjian and Sun, Weisong and Gao, Xinyu and Luu, Anh Tuan and Liu, Yang and Chen, Zhenyu",2024,ACM,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,ASE
Spec Kit Agents: Context-Grounded Agentic Workflows,,Pardis Taghavi; Santosh Bhavani,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SpecBench: Evaluating Specification-Level Reasoning for Software Engineering LLM Agents,,Grant Hamblin; Kevin Song; Zhanda Zhu; Anand Jayarajan; Sihang Liu; Nandita Vijaykumar; Gennady Pekhimenko,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.MA,arXiv
Specification Vibing for Automated Program Repair,,Taohong Zhu; Lucas C. Cordeiro; Mustafa A. Mustafa; Youcheng Sun,2026,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
SpecRover: Code Intent Extraction via LLMs,10.1109/icse55347.2025.00080,"Ruan, Haifeng and Zhang, Yuntong and Roychoudhury, Abhik",2025,ACM+IEEE+arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,12,Proceedings of the IEEE/ACM 47th International Conference on Software Engineering; 2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE); cs.SE,ICSE
Speeding Up Genetic Improvement via Regression Test Selection,10.1145/3680466,"Guizzo, Giovani and Williams, David and Harman, Mark and Petke, Justyna and Sarro, Federica",2024,ACM,SE-G1 AND AI-G2,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
"SPICE: An Automated SWE-Bench Labeling Pipeline for Issue Clarity, Test Coverage, and Effort Estimation",10.1109/ase63991.2025.00192,G. A. Oliva; G. K. Rajbahadur; A. Bhatia; H. Zhang; Y. Chen; Z. Chen; A. Leung; D. Lin; B. Chen; A. E. Hassan,2025,IEEE,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),ASE
SpIDER: Spatially Informed Dense Embedding Retrieval for Software Issue Localization,,Shravan Chaudhari; Rahul Thomas Jacob; Mononito Goswami; Jiajun Cao; Shihab Rashid; Christian Bock,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Spotting Code Mutation for Predictive Mutation Testing,10.1145/3691620.3695491,"Zhao, Yifan and Chen, Yizhou and Sun, Zeyu and Liang, Qingyuan and Wang, Guoqing and Hao, Dan",2024,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,ASE
SPVR: syntax-to-prompt vulnerability repair based on large language models,,Ruoke Wang; Zongjie Li; Cuiyun Gao; Chaozheng Wang; Yang Xiao; Xuan Wang,2024,arXiv,SE-G2 AND AI-G1,1,cs.SE; Automated Software Engineering (2026),ASE
Squeez: Task-Conditioned Tool-Output Pruning for Coding Agents,,Ádám Kovács,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
Standing on the Shoulders of Giants: Bug-Aware Automated GUI Testing via Retrieval Augmentation,10.1145/3715755,"Chen, Mengzhuo and Liu, Zhe and Chen, Chunyang and Wang, Junjie and Wu, Boyu and Hu, Jun and Wang, Qing",2025,ACM,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,FSE/ESEC,FSE
Statistical Independence Aware Caching for LLM Workflows,,Yihan Dai; Dimitrios Stamatios Bouras; Haoxiang Jia; Sergey Mechtaev,2025,arXiv,SE-G1 AND AI-G1,1,cs.SE; LLM4Code@ICSE 2026,ICSE
Step Rejection Fine-Tuning: A Practical Distillation Recipe,,Igor Slinko; Ilia Zavidnyi; Egor Bogomolov; Yaroslav Zharov,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.LG,arXiv
Structurally Aligned Subtask-Level Memory for Software Engineering Agents,,Kangning Shen; Jingyuan Zhang; Chenxi Sun; Wencong Zeng; Yang Yue,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICML 2026,ICML
Students' Perception of ChatGPT in Software Engineering: Lessons Learned from Five Courses,10.1109/cseet66350.2025.00023,L. Baresi; A. De Lucia; A. Di Marco; M. Di Penta; D. Di Ruscio; L. Mariani; D. Micucci; F. Palomba; M. T. Rossi; F. Zampetti,2025,IEEE,SE-G2 AND AI-G1,1,2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&T),ICSE
Studying and Automating Issue Resolution for Software Quality,,Antu Saha,2025,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
SuffixDecoding: Extreme Speculative Decoding for Emerging AI Applications,,Gabriele Oliaro; Zhihao Jia; Daniel Campos; Aurick Qiao,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.CL; NeurIPS 2025 (Spotlight),NeurIPS
Summary-Mediated Repair: Can LLMs use code summarisation as a tool for program repair?,,Lukas Twist,2025,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
SuperCoder2.0: Technical Report on Exploring the feasibility of LLMs as Autonomous Programmer,,Anmol Gautam; Kishore Kumar; Adarsh Jha; Mukunda NS; Ishaan Bhola,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Supporting High-Level to Low-Level Requirements Coverage Reviewing with Large Language Models,10.1145/3643991.3644922,"Preda, Anamaria-Roberta and Mayr-Dorn, Christoph and Mashkoor, Atif and Egyed, Alexander",2024,ACM,SE-G1 AND AI-G1,1,Proceedings of the 21st International Conference on Mining Software Repositories,MSR
Survey on Evaluation of LLM-based Agents,,Asaf Yehudai; Lilach Eden; Alan Li; Guy Uziel; Yilun Zhao; Roy Bar-Haim; Arman Cohan; Michal Shmueli-Scheuer,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI; Findings of ACL 2026,ACL
Surveying the Benchmarking Landscape of Large Language Models in Code Intelligence,10.1145/3800957,"Abdollahi, Mohammad and Zhang, Ruixin and Shiri Harzevili, Nima and Shin, Jiho and Wang, Song and Hemmati, Hadi",2026,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.,TOSEM
SVRepair: Structured Visual Reasoning for Automated Program Repair,,Xiaoxuan Tang; Jincheng Wang; Liwei Luo; Jingxuan Xu; Sheng Zhou; Dajun Chen; Wei Jiang; Yong Li,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE Atlas: Benchmarking Coding Agents Beyond Issue Resolution,,Mohit Raghavendra; Soham Dan; Miguel Romero Calvo; Yannis Yiming He; Johannes Baptist Mols; Gautam Anand; Cole McCollum; Edgar Arakelyan; Vijay Bharadwaj; Andrew Park; Jeff Da; MohammadHossein Rezaei; Bing Liu; Brad Kenstler; Yunzhong He,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.LG,arXiv
SWE Context Bench: A Benchmark for Context Learning in Coding,,Jiayuan Zhu; Junde Wu; Minhao Hu; Shengda Zhu; Jiazhen Pan; Weixiang Shen; Yijun Yang; Fenglin Liu; Jianye Hao; Yueming Jin; Qirong Ho; Min Xu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-ABS: Adversarial Benchmark Strengthening Exposes Inflated Success Rates on Test-based Benchmark,,Boxi Yu; Yang Cao; Yuzhong Zhang; Liting Lin; Junjielong Xu; Zhiqing Zhong; Qinghua Xu; Guancheng Wang; Jialun Cao; Shing-Chi Cheung; Pinjia He; Lionel Briand,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICML 2026,ICML
SWE-Adept: An LLM-Based Agentic Framework for Deep Codebase Analysis and Structured Issue Resolution,,Kang He; Kaushik Roy,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,,John Yang; Carlos E. Jimenez; Alexander Wettig; Kilian Lieret; Shunyu Yao; Karthik Narasimhan; Ofir Press,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; NeurIPS 2024,NeurIPS
SWE-AGI: Benchmarking Specification-Driven Software Construction with MoonBit in the Era of Autonomous Agents,,Zhirui Zhang; Hongbo Zhang; Haoxiang Fei; Zhiyuan Bao; Yubin Chen; Zhengyu Lei; Ziyue Liu; Yixuan Sun; Mingkun Xiao; Zihang Ye; Yu Zhang; Hongcheng Zhu; Yuxiang Wen; Heung-Yeung Shum,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-AGILE: A Software Agent Framework for Efficiently Managing Dynamic Reasoning Context,,Shuquan Lian; Juncheng Liu; Yazhe Chen; Yuhong Chen; Hui Li,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI; Findings of ACL 2026,ACL
SWE-Arena: An Interactive Platform for Evaluating Foundation Models in Software Engineering,,Zhimin Zhao,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE; Forge@ICSE 2025,ICSE
SWE-Bench 5G: Benchmarking AI Coding Agents on Telecom Network Engineering Tasks,,Jiao Chen; Jianhua Tang; Xiaotong Yang; Zuohong Lv,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.NI,arXiv
SWE-bench Goes Live!,,Linghao Zhang; Shilin He; Chaoyun Zhang; Yu Kang; Bowen Li; Chengxing Xie; Junhao Wang; Maoquan Wang; Yufan Huang; Shengyu Fu; Elsie Nallipogu; Qingwei Lin; Yingnong Dang; Saravan Rajmohan; Dongmei Zhang,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; NeurIPS 2025,NeurIPS
SWE-Bench Mobile: Can Large Language Model Agents Develop Industry-Level Mobile Applications?,,Muxin Tian; Zhe Wang; Blair Yang; Zhenwei Tang; Kunlun Zhu; Honghua Dong; Hanchen Li; Xinni Xie; Guangjing Wang; Jiaxuan You,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-bench Multimodal: Do AI Systems Generalize to Visual Software Domains?,,John Yang; Carlos E. Jimenez; Alex L. Zhang; Kilian Lieret; Joyce Yang; Xindi Wu; Ori Press; Niklas Muennighoff; Gabriel Synnaeve; Karthik R. Narasimhan; Diyi Yang; Sida I. Wang; Ofir Press,2024,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.CL; ICLR 2025,ICLR
SWE-Bench Pro: Can AI Agents Solve Long-Horizon Software Engineering Tasks?,,Xiang Deng; Jeff Da; Edwin Pan; Yannis Yiming He; Charles Ide; Kanak Garg; Niklas Lauffer; Andrew Park; Nitin Pasari; Chetan Rane; Karmini Sampath; Maya Krishnan; Srivatsa Kundurthy; Sean Hendryx; Zifan Wang; Vijay Bharadwaj; Jeff Holm; Raja Aluri; Chen Bo Calvin Zhang; Noah Jacobson; Bing Liu; Brad Kenstler,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE; ICML,ICML
SWE-Bench++: A Framework for the Scalable Generation of Software Engineering Benchmarks from Open-Source Repositories,,Lilin Wang; Lucas Ramalho; Alan Celestino; Phuc Anthony Pham; Yu Liu; Umang Kumar Sinha; Andres Portillo; Onassis Osunwa; Gabriel Maduekwe,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
SWE-Bench+: Enhanced Coding Benchmark for LLMs,,Reem Aleithan; Haoran Xue; Mohammad Mahdi Mohajer; Elijah Nnorom; Gias Uddin; Song Wang,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-Bench-CL: Continual Learning for Coding Agents,,Thomas Joshi; Shayan Chowdhury; Fatih Uysal,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.LG,arXiv
SWE-bench-java: A GitHub Issue Resolving Benchmark for Java,,Daoguang Zan; Zhirong Huang; Ailun Yu; Shaoxin Lin; Yifan Shi; Wei Liu; Dong Chen; Zongshuai Qi; Hao Yu; Lei Yu; Dezhi Ran; Muhan Zeng; Bo Shen; Pan Bian; Guangtai Liang; Bei Guan; Pengjie Huang; Tao Xie; Yongji Wang; Qianxiang Wang,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,,Carlos E. Jimenez; John Yang; Alexander Wettig; Shunyu Yao; Kexin Pei; Ofir Press; Karthik Narasimhan,2023,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.CL; ICLR 2024 (Oral),ICLR
SWE-Chain: Benchmarking Coding Agents on Chained Release-Level Package Upgrades,,Man Ho Lam; Chaozheng Wang; Hange Liu; Jingyu Xiao; Haau-sing Li; Jen-tse Huang; Terry Yue Zhuo; Michael R. Lyu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-chat: Coding Agent Interactions From Real Users in the Wild,,Joachim Baumann; Vishakh Padmakumar; Xiang Li; John Yang; Diyi Yang; Sanmi Koyejo,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI,arXiv
SWE-CI: Evaluating Agent Capabilities in Maintaining Codebases via Continuous Integration,,Jialong Chen; Xander Xu; Hu Wei; Chuan Chen; Bing Zhao,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-Compass: Towards Unified Evaluation of Agentic Coding Abilities for Large Language Models,,Jingxuan Xu; Ken Deng; Weihao Li; Songwei Yu; Huaixi Tang; Haoyang Huang; Zhiyi Lai; Zizheng Zhan; Yanan Wu; Chenchen Zhang; Kepeng Lei; Yifan Yao; Xinping Lei; Wenqiang Zhu; Zongxian Feng; Han Li; Junqi Xiong; Dailin Li; Zuchen Gao; Kun Wu; Wen Xiang; Ziqi Zhan; Yuanxing Zhang; Wuxuan Gong; Ziyuan Gao; Guanxiang Wang; Yirong Xue; Mengtong Li; Mengfei Xie; Xiaojiang Zhang; Jinghui Wang; Wenhao Zhuang; Zheng Lin; Huiming Wang; Zhaoxiang Zhang; Yuqun Zhang; Haotian Zhang; Bin Chen; Jiaheng Liu,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICML (2026),ICML
SWE-Cycle: Benchmarking Code Agents across the Complete Issue Resolution Cycle,,Hao Guan; Lingyue Fu; Shao Zhang; Yaoming Zhu; Kangning Zhang; Lin Qiu; Xunliang Cai; Xuezhi Cao; Weiwen Liu; Weinan Zhang; Yong Yu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-Debate: Competitive Multi-Agent Debate for Software Issue Resolution,,Han Li; Yuling Shi; Shaoxin Lin; Xiaodong Gu; Heng Lian; Xin Wang; Yantao Jia; Tao Huang; Qianxiang Wang,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICSE (2026),ICSE
SWE-Dev: Building Software Engineering Agents with Training and Inference Scaling,,Haoran Wang; Zhenyu Hou; Yao Wei; Jie Tang; Yuxiao Dong,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI; ACL Findings (2025); ACL (Findings),ACL
SWE-Dev: Evaluating and Training Autonomous Feature-Driven Software Development,,Yaxin Du; Yuzhu Cai; Yifan Zhou; Cheng Wang; Yu Qian; Xianghe Pang; Qian Liu; Yue Hu; Siheng Chen,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; NeurIPS (2025),NeurIPS
SWE-Edit: Rethinking Code Editing for Efficient SWE-Agent,,Yikai Zhang; Jiaxin Pei; Kenan Li; Qirui Jin; Maoquan Wang; Jin Pan; Yu Kang; Shengyu Fu; Elsie Nallipogu; Junjie Hu; Yufan Huang; Zijian Jin,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-Effi: Re-Evaluating Software AI Agent System Effectiveness Under Resource Constraints,,Zhiyu Fan; Kirill Vasilevski; Dayi Lin; Boyuan Chen; Yihao Chen; Zhiqing Zhong; Jie M. Zhang; Pinjia He; Ahmed E. Hassan,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-EVO: Benchmarking Coding Agents in Long-Horizon Software Evolution Scenarios,,Tue Le; Minh V. T. Thai; Dung Nguyen Manh; Huy Phan Nhat; Nghi D. Q. Bui,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
SWE-Exp: Experience-Driven Software Issue Resolution,,Silin Chen; Shaoxin Lin; Yuling Shi; Heng Lian; Xiaodong Gu; Longfei Yun; Dong Chen; Lin Cao; Jiyang Liu; Nu Xia; Qianxiang Wang,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-Explore: Benchmarking How Coding Agents Explore Repositories,,Shaoqiu Zhang; Yuhang Wang; Jialiang Liang; Yuling Shi; Wenhao Zeng; Maoquan Wang; Shilin He; Ningyuan Xu; Siyu Ye; Kai Cai; Xiaodong Gu,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
SWE-Factory: Your Automated Factory for Issue Resolution Training Data and Evaluation Benchmarks,,Lianghong Guo; Yanlin Wang; Caihua Li; Wei Tao; Pengyu Yang; Jiachi Chen; Haoyu Song; Duyu Tang; Zibin Zheng,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; FSE (2026); FSE/ESEC,FSE
SWE-fficiency: Can Language Models Optimize Real-World Repositories on Real Workloads?,,Jeffrey Jian Ma; Milad Hashemi; Amir Yazdanbakhsh; Kevin Swersky; Ofir Press; Enhui Li; Vijay Janapa Reddi; Parthasarathy Ranganathan,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICML,ICML
SWE-Fuse: Empowering Software Agents via Issue-free Trajectory Learning and Entropy-aware RLVR Training,,Xin-Cheng Wen; Binbin Chen; Haoxuan Lan; Hang Yu; Peng Di; Cuiyun Gao,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-GPT: A Process-Centric Language Model for Automated Software Improvement,10.1145/3728981,"Ma, Yingwei and Cao, Rongyu and Cao, Yongchang and Zhang, Yue and Chen, Jue and Liu, Yibo and Liu, Yuchen and Li, Binhua and Huang, Fei and Li, Yongbin",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ISSTA,ISSTA
"SWE-Hub: A Unified Production System for Scalable, Executable Software Engineering Tasks",,Yucheng Zeng; Shupeng Li; Daxiang Dong; Ruijie Xu; Zimo Chen; Liwei Zheng; Yuxuan Li; Zhe Zhou; Haotian Zhao; Lun Tian; Heng Xiao; Tianshu Zhu; Longkun Hao; Jianmin Wu,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI,arXiv
SWE-IF: Aligning Code Evaluation with Human Preference,,Ming Zhong; Xiang Zhou; Ting-Yun Chang; Qingze Wang; Nan Xu; Xiance Si; Dan Garrette; Shyam Upadhyay; Jeremiah Liu; Jiawei Han; Benoit Schillings; Jiao Sun,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.CL; ICML (2026),ICML
SWE-Lancer: Can Frontier LLMs Earn $1 Million from Real-World Freelance Software Engineering?,,Samuel Miserendino; Michele Wang; Tejal Patwardhan; Johannes Heidecke,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.LG; ICML (2025),ICML
SWE-Manager: Selecting and Synthesizing Golden Proposals Before Coding,,Boyin Tan; Haoning Deng; Junyuan Zhang; Junjielong Xu; Pinjia He; Youcheng Sun,2026,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
SWE-Marathon: Can Agents Autonomously Complete Ultra-Long-Horizon Software Work?,,Rishi Desai; Jesse Hu; Joan Cabezas; Neel Harsola; Pratyush Shukla; Roey Ben Chaim; Adnan El Assadi; Omkaar Mukund Kamath; Fenil Faldu; Prannay Hebbar; Jiankai Sun; Yiyuan Li; Pramod Srinivasan; Ishan Gupta; Christopher Settles; Daniel Wang; Derek Chen; Pranav Raja; Albert Liu; Marek Šuppa; Nevasini Sasikumar; Luyang Kong; Erik Quintanilla; Xiangyi Li; Ivan Bercovich; Steven Dillmann,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
SWE-Master: Unleashing the Potential of Software Engineering Agents via Post-Training,,Huatong Song; Lisheng Huang; Shuang Sun; Jinhao Jiang; Ran Le; Daixuan Cheng; Guoxin Chen; Yiwen Hu; Zongchao Chen; Yiming Jia; Wayne Xin Zhao; Yang Song; Tao Zhang; Ji-Rong Wen,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-MERA: A Dynamic Benchmark for Agenticly Evaluating Large Language Models on Software Engineering Tasks,,Pavel Adamenko; Mikhail Ivanov; Aidar Valeev; Rodion Levichev; Pavel Zadorozhny; Ivan Lopatin; Dmitry Babayev; Alena Fenogenova; Valentin Malykh,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; EMNLP System Demonstrations (2025); EMNLP (Demos),EMNLP
SWE-MiniSandbox: Container-Free Reinforcement Learning for Building Software Engineering Agents,,Danlong Yuan; Wei Wu; Enhan Zhao; Zhengren Wang; Xueliang Zhao; Huishuai Zhang; Dongyan Zhao,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE; ICML (2026),ICML
SWE-Mirror: Scaling Issue-Resolving Datasets by Mirroring Issues Across Repositories,,Junhao Wang; Daoguang Zan; Shulin Xin; Siyao Liu; Yurong Wu; Kai Shen,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-Mutation: Can LLMs Generate Reliable Test Suites in Software Engineering?,,Yuxuan Sun; Yuze Zhao; Yufeng Wang; Yao Du; Zhiyuan Ma; Jinbo Wang; Mengdi Zhang; Kai Zhang; Zhenya Huang,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ACL Findings (2026); ACL (Findings),ACL
SWE-Next: Scalable Real-World Software Engineering Tasks for Agents,,Jiarong Liang; Zhiheng Lyu; Zijie Liu; Xiangchao Chen; Ping Nie; Kai Zou; Wenhu Chen,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
SWE-Perf: Can Language Models Optimize Code Performance on Real-World Repositories?,,Xinyi He; Qian Liu; Mingzhe Du; Lin Yan; Zhijie Fan; Yiming Huang; Zejian Yuan; Zejun Ma,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE; ICML (2026); ICML Poster,ICML
SWE-PolyBench: A multi-language benchmark for repository level evaluation of coding agents,,Muhammad Shihab Rashid; Christian Bock; Yuan Zhuang; Alexander Buchholz; Tim Esler; Simon Valentin; Luca Franceschi; Martin Wistuba; Prabhu Teja Sivaprasad; Woo Jung Kim; Anoop Deoras; Giovanni Zappella; Laurent Callot,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-PRBench: Benchmarking AI Code Review Quality Against Pull Request Feedback,,Deepak Kumar,2026,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
SWE-Protégé: Learning to Selectively Collaborate With an Expert Unlocks Small Language Models as Software Engineering Agents,,Patrick Tser Jern Kon; Archana Pradeep; Ang Chen; Alexander P. Ellis; Warren Hunt; Zijian Wang; John Yang; Samuel Thompson,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
SWE-Pruner: Self-Adaptive Context Pruning for Coding Agents,,Yuhang Wang; Yuling Shi; Mo Yang; Rongrui Zhang; Shilin He; Heng Lian; Yuting Chen; Siyu Ye; Kai Cai; Xiaodong Gu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
