Publication Year,Author,Title,Url,Date,Short Title,Venue,Archive,Primary Category,Modified,1 means Modified compared to last updated,Bibtex Finished
2026,"Ganhotra, Jatin; Serhan, Sami; Nassar, Antonio Abu; Shinnar, Avraham; Nevo, Ziv; Hirzel, Martin",Resolving Java Code Repository Issues with iSWE Agent,http://arxiv.org/abs/2603.11356,20260311,,arXiv only,E2E Agent,Scaffold/Method Design,0,,1
2026,"Fu, Dayuan; Wu, Shenyu; Wu, Yunze; Peng, Zerui; Huang, Yaxing; Sun, Jie; Zeng, Ji; Jiang, Mohan; Zhang, Lin; Li, Yukun; Hu, Jiarui; Liu, Liming; Hou, Jinlong; Liu, Pengfei",daVinci-Env: Open SWE Environment Synthesis at Scale,http://arxiv.org/abs/2603.13023,20260313,daVinci-Env,arXiv only,Train Dataset,Training,0,,1
2026,"Huang, Jiawei; Yang, Qingping; Zheng, Renjie; Chen, Jiaze",Beyond Verifiable Rewards: Rubric-Based GRM for Reinforced Fine-Tuning SWE Agents,http://arxiv.org/abs/2604.16335,20260313,Beyond Verifiable Rewards,arXiv only,Selection,Scaffold/Method Design,0,,1
2026,"Sutawika, Lintang; Soni, Aditya Bharat; R, Bharath Sriraam R.; Gandhi, Apurva; Yassine, Taha; Vijayvargiya, Sanidhya; Li, Yuchen; Zhou, Xuhui; Zhang, Yilin; Maben, Leander Melroy; Neubig, Graham",CodeScout: An Effective Recipe for Reinforcement Learning of Code Search Agents,http://arxiv.org/abs/2603.17829,20260318,CodeScout,arXiv only,Localization,Scaffold/Method Design,0,,1
2026,"Ma, Ruize; Jiang, Yilei; Zhang, Shilin; Ma, Zheng; Feng, Yi; Ng, Vincent; Wang, Zhi; Yue, Xiangyu; Li, Chuanyi; Lu, Lewei",FailureMem: A Failure-Aware Multimodal Framework for Autonomous Software Repair,http://arxiv.org/abs/2603.17826,20260318,FailureMem,arXiv only,E2E Agent,Scaffold/Method Design,0,,1
2026,"Liang, Jiarong; Lyu, Zhiheng; Liu, Zijie; Chen, Xiangchao; Nie, Ping; Zou, Kai; Chen, Wenhu",SWE-Next: Scalable Real-World Software Engineering Tasks for Agents,http://arxiv.org/abs/2603.20691,20260321,SWE-Next,arXiv only,Train Dataset,Training,0,,1
2026,"Kim, Myeongsoo; Wang, Dingmin; Cui, Siwei; Farmahinifarahani, Farima; Garg, Shweta; Ray, Baishakhi; Zhuo, Terry Yue; Mukherjee, Rajdeep; Kumar, Varun",TRAJEVAL: Decomposing Code Agent Trajectories for Fine-Grained Diagnosis,http://arxiv.org/abs/2603.24631,20260325,TRAJEVAL,arXiv only,Empirical,Empirical,1,,1
2026,"Jia, Haoxiang; Barr, Earl T.; Mechtaev, Sergey",Compressing Code Context for LLM-based Issue Resolution,http://arxiv.org/abs/2603.28119,20260330,,arXiv only,E2E Pipeline,Scaffold/Method Design,0,,1
2026,"Zhao Tian, Pengfei Gao, Junjie Chen, Chao Peng",Agent-Based Ensemble Reasoning for Repository-Level Issue Resolution,,20260401,,ICSE,E2E Agent,Scaffold/Method Design,0,,1
2026,"Li, Kefan; Yuan, Yuan; Wang, Mengfei; Zheng, Shihao; Wang, Wei; Yang, Ping; Li, Mu; Lv, Weifeng",Beyond Fixed Tests: Repository-Level Issue Resolution as Coevolution of Code and Behavioral Constraints,https://arxiv.org/abs/2604.04580,202604,Agent-CoEvo,arXiv only,E2E Agent,Scaffold/Method Design,0,,1
2026,"Ludwig, Nikolai; Ahmad, Wasi Uddin; Majumdar, Somshubra; Ginsburg, Boris",From SWE-ZERO to SWE-HERO: Execution-free to Execution-based Fine-tuning for Software Engineering Agents,http://arxiv.org/abs/2604.01496,20260402,SWE-HERO,arXiv only,Train,Training,0,,1
2026,"Shastry, KN Ajay; Senrayan, Ganesh; Satapara, Shrey; Panda, Pranoy; Devaguptapu, Chaitanya",Beyond Isolated Tasks: A Framework for Evaluating Coding Agents on Sequential Software Evolution,http://arxiv.org/abs/2604.03035,20260403,SWE-STEPS,arXiv only,Benchmark,Benchmark,0,,1
2026,"Team, CodeArts Model; Ye, Yang; Tan, Jingyuan; Jiang, Tianyue; Ye, Ruizhe; He, Qiankun; Yang, Jiarui; Dong, Jian; Liang, Sicong; Yue, Chongjian; Xu, Peibai; Lu, Lufan; Pang, Shiguan; Qian, Taotao; Hu, Junbao; Hao, Yuechan; Shi, Ensheng; Zhang, Qi; Hao, Yi; Fan, Na; Tan, Xin; Yao, Shuai; Shen, Zhiwei; Li, Zongchen; Wang, Yanlin; Chen, Chong; Ma, Yuchi","Yet Even Less Is Even Better For Agentic, Reasoning, and Coding LLMs",http://arxiv.org/abs/2604.00824,20260406,,arXiv only,Train Dataset,Training,0,,1
2026,"Yu, Kai; Zhou, Zhenhao; Zeng, Junhao; Wang, Ying; Du, Xueying; Yuan, Zhiqiang; Liu, Junwei; Zhou, Ziyu; Wang, Yujia; Wang, Chong; Peng, Xin",Does Pass Rate Tell the Whole Story? Evaluating Design Constraint Compliance in LLM-based Issue Resolution,http://arxiv.org/abs/2604.05955,20260407,Does Pass Rate Tell the Whole Story?,arXiv only,Empirical,Empirical,0,,1
2026,"Kuang, Shiqi; Tian, Zhao; Lin, Kaiwei; Tao, Chaofan; Wang, Shaowei; Bai, Haoli; Shang, Lifeng; Chen, Junjie",REAgent: Requirement-Driven LLM Agents for Software Issue Resolution,http://arxiv.org/abs/2604.06861,20260408,REAgent,arXiv only,E2E Agent,Scaffold/Method Design,0,,1
2026,"Li, Kenan; Jin, Qirui; Zhu, Liao; Huang, Xiaosong; Wu, Yijia; Zhang, Yikai; Zhang, Xin; Jin, Zijian; Huang, Yufan; Nallipogu, Elsie; Zhang, Chaoyun; Kang, Yu; Rajmohan, Saravan; Lin, Qingwei; Lee, Wenke; Zhang, Dongmei",ORACLE-SWE: Quantifying the Contribution of Oracle Information Signals on SWE Agents,http://arxiv.org/abs/2604.07789,20260409,ORACLE-SWE,ICML,Empirical,Empirical,0,,1
2026,"Zhang, Xing; Wang, Guanghui; Cui, Yanwei; Qiu, Wei; Li, Ziyuan; Zhu, Bing; He, Peiyang",Do Agent Rules Shape or Distort? Guardrails Beat Guidance in Coding Agents,http://arxiv.org/abs/2604.11088,20260413,,arXiv only,Empirical,Empirical,0,,1
2026,"Liu, Shuyang; Dehghan, Saman; Ganhotra, Jatin; Hirzel, Martin; Jabbarvand, Reyhaneh",From Plan to Action: How Well Do Agents Follow the Plan?,http://arxiv.org/abs/2604.12147,20260413,,arXiv only,Empirical,Empirical,0,,1
2026,"Lian, Shuquan; Liu, Juncheng; Chen, Yazhe; Chen, Yuhong; Li, Hui",SWE-AGILE: A Software Agent Framework for Efficiently Managing Dynamic Reasoning Context,http://arxiv.org/abs/2604.11716,20260413,SWE-AGILE,arXiv only,Train,Training,1,,1
2026,"Han, Hao; Xie, Jin; Ma, Xuehao; Zhu, Weiquan; Zhang, Ziyao; Long, ZhiLiang; Chen, Hongkai; Ye, Qingwen",SWE-TRACE: Optimizing Long-Horizon SWE Agents Through Rubric Process Reward Models and Heuristic Test-Time Scaling,http://arxiv.org/abs/2604.14820,20260416,SWE-TRACE,arXiv only,Train,Training,0,,1
2026,"Kim, Myeongsoo; Hsu, Joe; Wang, Dingmin; Garg, Shweta; Kumar, Varun; Ramanathan, Murali Krishna",CODESTRUCT: Code Agents over Structured Action Spaces,http://arxiv.org/abs/2604.05407,20260416,CODESTRUCT,ACL,E2E Agent,Scaffold/Method Design,1,,1
2026,"Kim, Joongwon; Yang, Wannan; Niu, Kelvin; Zhang, Hongming; Zhu, Yun; Helenowski, Eryk; Silva, Ruan; Chen, Zhengxing; Iyer, Srinivasan; Zaheer, Manzil; Fried, Daniel; Hajishirzi, Hannaneh; Arora, Sanjeev; Synnaeve, Gabriel; Salakhutdinov, Ruslan; Goyal, Anirudh",Scaling Test-Time Compute for Agentic Coding,http://arxiv.org/abs/2604.16529,20260416,,arXiv only,Selection,Scaffold/Method Design,0,,1
2026,"Xiangxin Meng, Zexiong Ma, Pengfei Gao, Chao Peng",LLM-based Agents for Automated Bug Fixing: How Far Are We?,,20260416,,ICSE,Empirical,Empirical,0,,1
2026,"Xu, Xiufeng; Wu, Xiufeng; Zhang, Zejun; Li, Yi",Neurosymbolic Repo-level Code Localization,http://arxiv.org/abs/2604.16021,20260417,LogicLoc,arXiv only,Localization,Scaffold/Method Design,0,,1
2026,"Wang, Junyi; Cao, Jialun; Liu, Zhongxin",iCoRe: An Iterative Correlation-Aware Retriever for Bug Reproduction Test Generation,http://arxiv.org/abs/2604.19224,20260421,iCoRe,FSE,Reproduction,Scaffold/Method Design,0,,1
2026,"Zhang, Yikai; Pei, Jiaxin; Li, Kenan; Wang, Maoquan; Pan, Jin; Kang, Yu; Fu, Shengyu; Nallipogu, Elsie; Hu, Junjie; Huang, Yufan; Jin, Zijian",SWE-Edit: Rethinking Code Editing for Efficient SWE-Agent,http://arxiv.org/abs/2604.26102,20260428,SWE-Edit,arXiv only,E2E Agent,Scaffold/Method Design,1,,1
2026,"Gloaguen, Thibaud; Mündler, Niels; Müller, Mark; Raychev, Veselin; Vechev, Martin",Coding Agents Don't Know When to Act,https://arxiv.org/abs/2605.07769,202605,,arXiv only,Empirical,Empirical,1,,1
2026,"Li, Yuanhao; Wang, Hongbo; Shang, Xiaotang; Tang, Xunzhu; Cao, Yiming; Chen, Xuhong",BoostAPR: Boosting Automated Program Repair via Execution-Grounded Reinforcement Learning with Dual Reward Models,https://arxiv.org/abs/2605.09134,202605,BoostAPR,ICML,Train,Training,0,,1
2026,"Wang, Shengjie; Li, Guanghe; Yang, Zonghan; Gao, Yang",Hindsight Hint Distillation: Scaffolded Reasoning for SWE Agents from CoT-free Answers,https://arxiv.org/abs/2605.11556,202605,HHD,arXiv only,Train,Training,0,,1
